news_title,Lables,new_label,new_label1,new_label2
 A 1981 book predicted the coronavirus outbreak.,Partly misleading,Misleading,Misleading,FALSE
" Taking a hot bath, breathing in hot steam or using a hand dryer to blow hot air up the nose are effective ways to prevent COVID-19, according to a lecturer in health sciences faculty at Ghanaian university.",FALSE,FALSE,FALSE,FALSE
 Betadine antiseptic cures the first symptomes of COVID19 when used as a gargling.,FALSE,FALSE,FALSE,FALSE
 Spainâ€™s Health Secretary advises against selling products from China.,FALSE,FALSE,FALSE,FALSE
" This video of a person infected with coronavirus being detained by the police is not real, itâ€™s a drill.",FALSE,FALSE,FALSE,FALSE
" Post says â€œthe blood test for coronavirus costs $3,200.â€",Mostly false,FALSE,FALSE,FALSE
 The novel coronavirus was made in a lab and is now spread as a way to force vaccinate people.,FALSE,FALSE,FALSE,FALSE
"78 patients deceased, 1019 new patients, a total of 7431 confirmed cases",TRUE,TRUE,TRUE,TRUE
 A Whatsapp forward claiming all calls will be recorded by the Indian government..,FALSE,FALSE,FALSE,FALSE
 The wife of a Chinese shop owner of Totana (Murcia) has coronavirus.,FALSE,FALSE,FALSE,FALSE
 Multiple allegations on how to protect oneself from CoV,Partially False,FALSE,FALSE,FALSE
 Cristiano Ronaldo donated his hotel to be turned into an hospital.,FALSE,FALSE,FALSE,FALSE
" â€œAmoxiâ€ Capsule, made in US, is the only medicine that can completely cure COVID-19.",FALSE,FALSE,FALSE,FALSE
 Autorities should implement temperature tests to travelers from China.,FALSE,FALSE,FALSE,FALSE
 Coronavirus patients are being â€œcremated aliveâ€ in China.,FALSE,FALSE,FALSE,FALSE
 Filipinos are eating a bat soup in Wuhan.,FALSE,FALSE,FALSE,FALSE
 Saint Lukeâ€™s Hospital of the USA says consuming alcohol can reduce the risk of COVID-19.,Mostly false,FALSE,FALSE,FALSE
The cost of inaction: COVID-19-related service disruptions could cause hundreds of thousands of extra deaths from HIV,TRUE,TRUE,TRUE,TRUE
 A magic remedy to prevent COVID-19,FALSE,FALSE,FALSE,FALSE
 Deepika Padukone was buying liquor during the lockdown in India as soon as the shops opened.,FALSE,FALSE,FALSE,FALSE
 Bloggers say the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.,FALSE,FALSE,FALSE,FALSE
 Warning,FALSE,FALSE,FALSE,FALSE
" A photo has been shared hundreds of times in multiple Facebook, Twitter and Instagram posts alongside a claim that it shows Italyâ€™s president crying over the novel coronavirus epidemic that has claimed thousands of lives in his country.",FALSE,FALSE,FALSE,FALSE
 Interview of HDFC Bank Managing Director Aditya Puri about why india will survive COVID-19 and make it big,FALSE,FALSE,FALSE,FALSE
 Says the coronavirus isnâ€™t new because â€œLysol has it listed as one of the viruses that it kills.â€,FALSE,FALSE,FALSE,FALSE
 The DPP (Democratic Progressive Party) politician Wang Shijian said that Taiwan has more than 500 confirmed cases.,FALSE,FALSE,FALSE,FALSE
" The are no COVID-19 deaths in Israel as they found a cure for COVID-19, a mixture of lemon and baking soda.",FALSE,FALSE,FALSE,FALSE
"43 patients deceased, 65 new patients, a total of 38,245 confirmed cases",TRUE,TRUE,TRUE,TRUE
 Indian Prime Minister Narendra Modi,FALSE,FALSE,FALSE,FALSE
" A video of a fire erupting inside a vehicle has been viewed hundreds of times on Facebook, Twitter and on messaging app Line in March 2020 alongside a claim it shows an explosion that was sparked by an alcohol-based disinfectant used during the novel coronavirus pandemic.",FALSE,FALSE,FALSE,FALSE
 Did genetic mutations cause the coronavirus to become more dangerous.,Partially true,FALSE,FALSE,FALSE
" In Kuwait, he sneezed during Friday sermon, and the worshipers expelled him.",Misleading,Misleading,Misleading,FALSE
 Secretary of Health in Mexico recommends taking vitamin C to prevent coronavirus,FALSE,FALSE,FALSE,FALSE
 Coronavirus Sars-Cov-2 at Bosch company in Bari (Puglia) because Chinese people visited the week before.,Fake,FALSE,FALSE,FALSE
 Multiple allegations on how to protect oneself from the new coronavirus.,Partially False,FALSE,FALSE,FALSE
 A health expert surmised that the SARS-Cov2 virus might not spread in Nigeria due to hot temperature.,Insufficient,Unproven,Misleading,FALSE
"30 patients deceased, 534 new patients, a total of 2994 positive tested people",TRUE,TRUE,TRUE,TRUE
 Italian prime minister cries because there is nothing they can do to treat COVID-19 and the situation is out of control.,FALSE,FALSE,FALSE,FALSE
" â€œConfirmed casesâ€ of the novel coronavirus or 2019 nCoV were recorded at the Philippine Bank of Communications (PBCom) Tower in Makati City, according to a message that circulated Friday, January 24.",FALSE,FALSE,FALSE,FALSE
World Bank and WHO scaling up readiness and response to COVID-19 in Yemen,TRUE,TRUE,TRUE,TRUE
 Administrative documents French people need to fill to go out are a copy paste from 1940 documents.,FALSE,FALSE,FALSE,FALSE
 The coronavirus was created in a lab and patented.,FALSE,FALSE,FALSE,FALSE
" Cubaâ€™s health ministry, Dr. Hala, has given the vaccine to China.",FALSE,FALSE,FALSE,FALSE
" New coronavirus can survive 9 days on the road; you should keep your shoes out, a doctor from Milan says.",FALSE,FALSE,FALSE,FALSE
 Social media posts suggest Zimbabwean police flogged churches who gathered in defiance to warnings encouraging social distancing.,FALSE,FALSE,FALSE,FALSE
 Saline water kills the new coronavirus.,FALSE,FALSE,FALSE,FALSE
 Egyptian doctor has invented a fluid to treat coronavirus.,FALSE,FALSE,FALSE,FALSE
" 11 out of 13 people (from the Diamond Princess Cruise ship) who had intially tested negative in tests in Japan, were later confirmed to be positive in the United States.",FALSE,FALSE,FALSE,FALSE
"43 patients deceased, 573 new patients, a total of 4204 positive tested people",TRUE,TRUE,TRUE,TRUE
 The coronavirus was created in a lab and patented.,FALSE,FALSE,FALSE,FALSE
 Russian scientists have found a cure for the new Chinese virus.,Misleading,Misleading,Misleading,FALSE
 Argentinian doctor discovered a vaccine against coronavirus in Spain,FALSE,FALSE,FALSE,FALSE
 Sweden refused to fight the coronavirus.,FALSE,FALSE,FALSE,FALSE
 Says 80% of novel coronavirus cases are â€œmild.â€,Mostly True,FALSE,FALSE,FALSE
PAHO Director calls for â€œextreme cautionâ€ when transitioning to more flexible social distancing measures,TRUE,TRUE,TRUE,TRUE
"148 patients deceased, 502 new patients, a total of 15,723 confirmed cases",TRUE,TRUE,TRUE,TRUE
Global solidarity across countries and continents needed to fight COVID-19,TRUE,TRUE,TRUE,TRUE
 A ban on Chinese citizens going to markets in Australia.,FALSE,FALSE,FALSE,FALSE
"166 patients deceased, 625 new patients, a total of 14.697 confirmed cases",TRUE,TRUE,TRUE,TRUE
WHO delivers more medicines to Islamic Republic of Iran for COVID-19 â€œSolidarityâ€ clinical trial,TRUE,TRUE,TRUE,TRUE
 The image is from Gujarat and shows the condition of migrant workers who are stuck due to the lockdown.,FALSE,FALSE,FALSE,FALSE
 â€œCoronavirus victims are buried in the morning this Wednesday in Italy. Rest in peace.â€,FALSE,FALSE,FALSE,FALSE
 Tunisian researcher speaking in this video found a cure against COVID-19.,FALSE,FALSE,FALSE,FALSE
 The roll-out of 5G is causing coronavirus or coronavirus-like symptoms.,FALSE,FALSE,FALSE,FALSE
 Coronavirus can be transmitted through imported goods,FALSE,FALSE,FALSE,FALSE
WHO Director-General\s opening remarks at the media briefing on COVID-19 - 11 May 2020,TRUE,TRUE,TRUE,TRUE
 The first case of new coronavirus in Venezuela has been registered. It comes from the Bolivar state.,FALSE,FALSE,FALSE,FALSE
 Korean series My Secret Terrius predicted the outbreak in advance.,FALSE,FALSE,FALSE,FALSE
 WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China,FALSE,FALSE,FALSE,FALSE
 You have to wear a disposable mask with the blue side out if you are sick and the white side out if you are not.,FALSE,FALSE,FALSE,FALSE
 Coronavirus dies in temperatures 26-27 degrees and when exposed to sunlight?,FALSE,FALSE,FALSE,FALSE
 Says â€œthe coronavirus was engineered by scientists in a lab.â€,FALSE,FALSE,FALSE,FALSE
No Kingâ€™s Day at Dutch Embassies,TRUE,TRUE,TRUE,TRUE
Nigeriaâ€™s polio community health agents take on COVID-19 detection,TRUE,TRUE,TRUE,TRUE
 The novel coronavirus was made in a lab and is now spread as a way to force vaccinate people.,FALSE,FALSE,FALSE,FALSE
" â€œConfirmed casesâ€ of the novel coronavirus or 2019 nCoV were recorded at the Philippine Bank of Communications (PBCom) Tower in Makati City, according to a message that circulated Friday, January 24.",FALSE,FALSE,FALSE,FALSE
 Queensland issued travel warning for Wuhan and Chinese-populated areas in Australia.,FALSE,FALSE,FALSE,FALSE
WHO Director-General\s opening remarks at the media briefing on COVID-19 - 6 May 2020,TRUE,TRUE,TRUE,TRUE
" Coronavirus dies at 56Â°C, so eat cooked food and turn on AC. Plus, Ethanol can kill Wuhan Virus.",Partially false,FALSE,FALSE,FALSE
 Bill Gates patented the Sars-cov2 vaccine in 2014.,FALSE,FALSE,FALSE,FALSE
" Post says â€œthe blood test for coronavirus costs $3,200.â€",Mostly false,FALSE,FALSE,FALSE
 It is better to shave your beard to avoid being infected by the coronavirus.,FALSE,FALSE,FALSE,FALSE
 Cristiano Ronaldo is going to transform his hotels into hospitals.,FALSE,FALSE,FALSE,FALSE
 Warning,FALSE,FALSE,FALSE,FALSE
 Garlic water can treat coronavirus.,FALSE,FALSE,FALSE,FALSE
"122 patients deceased, 210 new patients, a total of 27,419 confirmed cases",TRUE,TRUE,TRUE,TRUE
" Video shows demolished 5G stations in Hong Kong, protestors held the 5G responsible for COVID-19.",FALSE,FALSE,FALSE,FALSE
 Bat market and bat meat are being sold in Wuhan.,FALSE,FALSE,FALSE,FALSE
" â€œPatent on this â€œnewâ€ coronavirus expired on the 22nd, todayâ€.",FALSE,FALSE,FALSE,FALSE
 Sevillaâ€™s university has suspended classes because of coronavirus (February 27th),FALSE,FALSE,FALSE,FALSE
 A hospital in Murcia in Spain has made a citizen appeal to make surgical masks.,FALSE,FALSE,FALSE,FALSE
" A person with coronavirus in Calella, Barcelona (February 13th).",FALSE,FALSE,FALSE,FALSE
"Fifteen patients deceased, 346 new patients, in total 2051 positive tested persons",TRUE,TRUE,TRUE,TRUE
" â€œConfirmed casesâ€ of the novel coronavirus or 2019 nCoV were recorded at the Philippine Bank of Communications (PBCom) Tower in Makati City, according to a message that circulated Friday, Jan. 24.",FALSE,FALSE,FALSE,FALSE
 A group of Muslim boys licking utensils to spread coronavirus.,FALSE,FALSE,FALSE,FALSE
" A video shows an empty hospital. It states that, although Globo said there were already 7 patients at a temporary COVID-19 hospital built in Fortaleza, Brazil, the video proves it is still not working.",FALSE,FALSE,FALSE,FALSE
 Turmeric And Lemon Help Fight Against coronavirus.,FALSE,FALSE,FALSE,FALSE
 A new case of novel coronavirus was registered in Saudi Arabia. A nurse from India was diagnosed with the specific strain of the virus.,FALSE,FALSE,FALSE,FALSE
WHO/Europe COVID-19 mission on route to Tajikistan at Governmentâ€™s request,TRUE,TRUE,TRUE,TRUE
 Gargling With Warm Salt Water Can Save From coronavirus.,Fake,FALSE,FALSE,FALSE
" WHO reported that coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted.",FALSE,FALSE,FALSE,FALSE
How WHO is re-imagining and fixing the links in the supply chains during COVID-19,TRUE,TRUE,TRUE,TRUE
 Image of police punishing people in Indian state of Assam for violating the curfew.,Partially true,FALSE,FALSE,FALSE
 An open letter from Bill Gates,FALSE,FALSE,FALSE,FALSE
" Live stream about the infected foreigners coming to Ukraine from Italy, which went viral.",Misleading,Misleading,Misleading,FALSE
 A huge container of soda drinks was infected with coronavirus.,FALSE,FALSE,FALSE,FALSE
 Indian economist Raghuram Rajan chaired the IMF webinar on Coronavirus.,FALSE,FALSE,FALSE,FALSE
 â€œThe Obama administration made a decision on testing that turned out to be very detrimental to what weâ€™re doingâ€ on the coronavirus.,FALSE,FALSE,FALSE,FALSE
 Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,FALSE,FALSE,FALSE,FALSE
 86 clients of a brothel in quarentine after a prostituted tested positive in coronavirus.,FALSE,FALSE,FALSE,FALSE
" A claim has been shared thousands of times on Facebook and Twitter in Sri Lanka that the ruler of Sharjah, one of the seven emirates of the United Arab Emirates (UAE), banned burials of people who died after contracting the novel coronavirus.",FALSE,FALSE,FALSE,FALSE
Opening remarks by Regional Director Dr Takeshi Kasai at a press conference on COVID-19 in the Western Pacific Region,TRUE,TRUE,TRUE,TRUE
 Summer temperatures will make coronavirus disappear.,Misleading,Misleading,Misleading,FALSE
 Ads are selling masks protecting against COVID-19.,Misleading,Misleading,Misleading,FALSE
 Chinese influencer caused the new coronavirus outbreak after eating bat soup.,FALSE,FALSE,FALSE,FALSE
" 14 points that are expert advice on coronavirus, including symptoms, prevention and how it spreads",Misleading,Misleading,Misleading,FALSE
 The spread of COVID-19 can be prevented with a â€œhome-made vaccineâ€ based on fruits and other ingredients.,FALSE,FALSE,FALSE,FALSE
 Cov case in Uttar Pradesh district.,FALSE,FALSE,FALSE,FALSE
" Image of a doctor smoking while treating COVID patients in Gujarat, India.",FALSE,FALSE,FALSE,FALSE
 There is an anti-Chinese protest in Italy due to COVID-19.,FALSE,FALSE,FALSE,FALSE
 Spices can ward off Corona Virus,Misleading,Misleading,Misleading,FALSE
How to distinguish a dual user from an exclusive e-cigarette user ,TRUE,TRUE,TRUE,TRUE
" A man with a gas mask at a supermarket in Lugo (Galicia, Spain).",FALSE,FALSE,FALSE,FALSE
Safe Ramadan practices in the context of the COVID-19,TRUE,TRUE,TRUE,TRUE
 Lonely Kaâ€™bah from Tawaf after Saudi Arabia makes policy on Corona Virus?,FALSE,FALSE,FALSE,FALSE
" Kabataan Representative, in the Philippines Sarah Elago tested positive for coronavirus.",FALSE,FALSE,FALSE,FALSE
"94 patients deceased, 97 new patients, a total of 40,236 confirmed cases",TRUE,TRUE,TRUE,TRUE
 Doctors Recommend Carbon Filter Face Masks To Prevent coronavirus Spread.,FALSE,FALSE,FALSE,FALSE
 photo that purports to show the novel coronavirus,FALSE,FALSE,FALSE,FALSE
" Chlorine dioxide kits sold online under various names â€” Miracle Mineral Solution, Miracle Mineral Supplement, Master Mineral Solution â€” will cure coronavirus.",FALSE,FALSE,FALSE,FALSE
 Infected taxi driver demands money from his government otherwise heâ€™ll infect others.,FALSE,FALSE,FALSE,FALSE
 Patents Mean Deadly Diseases And Viruses Were Created Or Invented In A Lab.,FALSE,FALSE,FALSE,FALSE
 An audio clip circulating on Facebook claiming that Kenya has recorded 63 cases of COVID-19.,FALSE,FALSE,FALSE,FALSE
" â€œA patent on this â€˜newâ€™ coronavirus expired on the 22nd (of January), todayâ€.",FALSE,FALSE,FALSE,FALSE
 USPS stops accepting items for China and HK.,Misleading,Misleading,Misleading,FALSE
 States Are Imposing Mandatory Leave And Statewide School Closures Due To coronavirus.,Misleading,Misleading,Misleading,FALSE
 Coronavirus is caused by bat soup.,FALSE,FALSE,FALSE,FALSE
WHO in Africa holds first â€˜hackathonâ€™ for COVID-19,TRUE,TRUE,TRUE,TRUE
WHO Director-General\s opening remarks at the media briefing on COVID-19 - 8 May 2020,TRUE,TRUE,TRUE,TRUE
 Chinese prime minister visits a mosque following the coronavirus outbreak.,FALSE,FALSE,FALSE,FALSE
 Spices can ward off Corona Virus,Misleading,Misleading,Misleading,FALSE
 Several clickbait websites published misleading headlines claiming that â€œcigarettes block the coronavirusâ€.,Misleading,Misleading,Misleading,FALSE
Man diagnosed with coronavirus (COVID-19) in the Netherlands,TRUE,TRUE,TRUE,TRUE
"One deceased patient, 121 new patients, in total 503 positive tested persons",TRUE,TRUE,TRUE,TRUE
" Stores and supermarkets in Veracruz, Mexico will close due to coronavirus. Local government asks to buy supplies.",FALSE,FALSE,FALSE,FALSE
 No work in several regions of Spain due to coronavirus.,FALSE,FALSE,FALSE,FALSE
 Taiwanese president and the former president were infected. The former president died.,FALSE,FALSE,FALSE,FALSE
Call to Action to Support COVID-19 Response - Polio Oversight Board Statement,TRUE,TRUE,TRUE,TRUE
" Drugs used against malaria (Hydroxychloroquine, Azithromycin) can cure COVID-19.",Half True,FALSE,FALSE,FALSE
 Italy cheers for Egypt in a march.,FALSE,FALSE,FALSE,FALSE
Two imported cases of Lassa virus in the Netherlands from Sierra Leone,TRUE,TRUE,TRUE,TRUE
PAHO urges countries to maintain vaccination during COVID-19 pandemic,TRUE,TRUE,TRUE,TRUE
 Chewing betel nuts can prevent COVID-19 infection.,FALSE,FALSE,FALSE,FALSE
Coronavirus measures for protection and deployability of police officers,TRUE,TRUE,TRUE,TRUE
" Coronavirus Sars-Cov-2 sites in Parabiago e Nerviano (Lombardia, Italy)",Fake,FALSE,FALSE,FALSE
 â€œSo let me get this straight about this virus. Itâ€™s â€œnewâ€ yet it was lab created and patented in 2015 (in development since 03â€™).,(Org. doesn't apply rating),FALSE,FALSE,FALSE
 A Chinese woman from Wuhan arrived in France with suspected symptoms of coronavirus.,Misleading,Misleading,Misleading,FALSE
Statement by Regional Director Dr Ahmed Al-Mandhari on COVID-19 in the Eastern Mediterranean Region,TRUE,TRUE,TRUE,TRUE
Malaysia joins global â€œSolidarity Trialâ€ - a research effort to test possible treatments for COVID-19,TRUE,TRUE,TRUE,TRUE
 A video in which a man cuts his neck on the street.,FALSE,FALSE,FALSE,FALSE
 Coronavirus was created in a lab in order to destroy the Chinese economy. The vaccine is already available.,FALSE,FALSE,FALSE,FALSE
 Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,FALSE,FALSE,FALSE,FALSE
 â€œCoronavirus epidemic in Poland.â€,Misleading,Misleading,Misleading,FALSE
" â€œThe new fad disease called the â€˜coronavirusâ€™ is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.â€",(Org. doesn't apply rating),FALSE,FALSE,FALSE
" A chain message circulated on Tuesday, January 14, warning people to avoid going to Shangri-La Plaza, a mall in Mandaluyong City, because of a supposed case of Severe Acute Respiratory Syndrome (SARS) reported in one of the mallâ€™s medical clinics.",FALSE,FALSE,FALSE,FALSE
 Stores and supermarkets in Veracruz (Mexico) will close due to the new coronavirus. The local government has asked people to buy supplies.,FALSE,FALSE,FALSE,FALSE
" Disaster management act has been implemented, no citizen is allowed to post any update on coronavirus.",Mostly false,FALSE,FALSE,FALSE
 China planned coronavirus.,FALSE,FALSE,FALSE,FALSE
 Filipina actress Angel Locsin â€œtested positiveâ€ for the coronavirus after conducting several relief operations.,FALSE,FALSE,FALSE,FALSE
 You can test a quality of reusable mask blowing a lighter as you wear it.,FALSE,FALSE,FALSE,FALSE
 Shanghai Government Officially Recommends Vitamin C for COVID-19.,Misleading,Misleading,Misleading,FALSE
 Photo of a family which committed suicide due to hunger during the lockdown.,FALSE,FALSE,FALSE,FALSE
 U.S. President Donald Trump or presidential candidate Joe Biden referred to the novel coronavirus pandemic as a time when â€œpeople are dying that have never died before.â€,FALSE,FALSE,FALSE,FALSE
 Posts that are circulating on Facebook say that people need to eat alkaline food in order to prevent a novel coronavirus infection.,FALSE,FALSE,FALSE,FALSE
 A person fainted in Caliâ€™s bus terminal because of COVID-19.,FALSE,FALSE,FALSE,FALSE
 Putin enters a meeting with his ministries wearing the full yellow suit used by quarantine doctors to protect themselves against catching COVID-19.,FALSE,FALSE,FALSE,FALSE
" Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquineâ€™s effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it â€œworks.â€",FALSE,FALSE,FALSE,FALSE
 Video shows President Donald Trump saying COVID-19 is Democratsâ€™ â€œnew hoax.â€,FALSE,FALSE,FALSE,FALSE
 Unicef recommandations,Misleading,Misleading,Misleading,FALSE
 A graphic has been shared in multiple posts on Facebook alongside a claim it contains a quote from Philippine Vice President Leni Robredo that bats are the â€œenemyâ€ in the novel coronavirus pandemic.,FALSE,FALSE,FALSE,FALSE
 An orangutan in the U.S. started to wash his hands imitating his keeper.,FALSE,FALSE,FALSE,FALSE
" A case of the novel coronavirus was registered in a hospital in MaranhÃ£o, Brazil.",FALSE,FALSE,FALSE,FALSE
 CDC recommends men shave their beards to protect against coronavirus.,FALSE,FALSE,FALSE,FALSE
 Study from Queensland Australia says that banana a day prevents COVID-19 because of vitB6.,FALSE,FALSE,FALSE,FALSE
"Global leaders unite to ensure everyone everywhere can access new vaccines, tests and treatments for COVID-19",TRUE,TRUE,TRUE,TRUE
" In a video, the Chinese prime minister offers namaz (prayer) during the coronavirus scare.",FALSE,FALSE,FALSE,FALSE
 Russia announces the closure of airspace and suspension of all its incoming and outgoing flights to China.,Misleading,Misleading,Misleading,FALSE
 The coronavirus can be slowed or stopped with the â€œimmediate widespread use of high doses of vitamin C.â€,FALSE,FALSE,FALSE,FALSE
" This image shows two people seen going around pretending to give protective masks to people in need. Be careful, theyâ€™re thieves and not healthcare personnel.",FALSE,FALSE,FALSE,FALSE
"WHOâ€™s polio surveillance team, other field staff join COVID19 fight",TRUE,TRUE,TRUE,TRUE
" House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.",FALSE,FALSE,FALSE,FALSE
" A photo shows coffins of people who died because of coronavirus in Italy, and that the virus is dangerous and you should stay inside.",Mostly false,FALSE,FALSE,FALSE
 COVID-19 is just a big flu.,FALSE,FALSE,FALSE,FALSE
 Finally India got its coronavirus Dashboard. This is the official website for coronavirus updates. This website is updated every four hours. Scroll down for more details; you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.,FALSE,FALSE,FALSE,FALSE
Interim injunction decision Nitrogen,TRUE,TRUE,TRUE,TRUE
 Janta Curfew in India will help break the chain of transmission.,FALSE,FALSE,FALSE,FALSE
Air quality improved slightly in 2018,TRUE,TRUE,TRUE,TRUE
 Clorox Already Knew About coronavirus And coronavirus Isnâ€™t New Virus.,Misleading,Misleading,Misleading,FALSE
 Taiwan has severe community transmission. Many people died.,FALSE,FALSE,FALSE,FALSE
 You have to wear a disposable mask with the blue side out if you are sick and the white side out if you are not.,FALSE,FALSE,FALSE,FALSE
 Masks from Wet Wipes Effectively Prevents Corona Virus Transmission,FALSE,FALSE,FALSE,FALSE
 Multiple allegations on how to protect oneself from CoV.,Partially false,FALSE,FALSE,FALSE
 Five helicopters will desinfect the Netherlands to extinguish the coronavirus. Citizens have to stay inside.,FALSE,FALSE,FALSE,FALSE
" Katy Perry, Madonna and Black Sabbath shared videos of Italyâ€™s flash mob with fake audio.",Misleading,Misleading,Misleading,FALSE
 A Chinese market caused the new coronavirus (video).,Misleading,Misleading,Misleading,FALSE
 A picture shows an eight-year-old boy infected with coronavirus. Prayers and shares on Facebook will help him.,FALSE,FALSE,FALSE,FALSE
" Hondurasâ€™s first confirmed case has traveled to Taiwan earlier, which means there is a severe community transmission in Taiwan.",FALSE,FALSE,FALSE,FALSE
 Florida Man Arrested For Robbery Using Cough As A Weapon.,FALSE,FALSE,FALSE,FALSE
 Photographs of the Army in Dublin city centre show that the country is about to go into lockdown.,FALSE,FALSE,FALSE,FALSE
"115 patients deceased, 225 new patients, a total of 23,097 confirmed cases",TRUE,TRUE,TRUE,TRUE
" A video of a car on fire. In the caption, it says that alcohol-based hand sanitizer caused the fire.",FALSE,FALSE,FALSE,FALSE
COVID-19 exposes the critical importance of patient rehabilitation,TRUE,TRUE,TRUE,TRUE
" Barack Obama, former President of the United States, said that criminals shouldnâ€™t have rights.",FALSE,FALSE,FALSE,FALSE
 The SARS-CoV-2 was created in 2003 in the United States.,FALSE,FALSE,FALSE,FALSE
 Shoes are an important vector for the transmission of coronavirus.,FALSE,FALSE,FALSE,FALSE
 The government of Spain is going to declare a state of emergency.,FALSE,FALSE,FALSE,FALSE
 WHO calls for isolation of China due to the coronavirus.,FALSE,FALSE,FALSE,FALSE
 SÃ£o Paulo city hall schedules coronavirus tests by phone.,FALSE,FALSE,FALSE,FALSE
" Autopsies performed by Italian doctors reveal that antibiotics, anticoagulants, and anti-inflammatories are the way to combat the new coronavirus.",Misleading,Misleading,Misleading,FALSE
 Israeli scientists have developed a Covid-19 vaccine,FALSE,FALSE,FALSE,FALSE
WHO launches checklist to support prison administrators and policy-makers for rapid and effective response to COVID-19,TRUE,TRUE,TRUE,TRUE
 A dog in Hong Kong died of COVID-19.,FALSE,FALSE,FALSE,FALSE
 Viral message shares the Indian Council of Medical Research (ICMR) latest guidelines on COVID-19.,FALSE,FALSE,FALSE,FALSE
Pass the message: Five steps to kicking out coronavirus,TRUE,TRUE,TRUE,TRUE
 Cow urine is helpful to fight coronavirus.,FALSE,FALSE,FALSE,FALSE
New WHO tools launched to help hospitals manage surge in COVID-19 patients,TRUE,TRUE,TRUE,TRUE
Three new patients with novel coronavirus (COVID-19),TRUE,TRUE,TRUE,TRUE
 Garlic water can cure the new coronavirus.,Misleading,Misleading,Misleading,FALSE
 Italians played the Chinese national anthem to thank China. People yelled â€œGrazie Cinaâ€.,FALSE,FALSE,FALSE,FALSE
 Wash your throat with salted water and apple vinegar to cure COVID-19.,FALSE,FALSE,FALSE,FALSE
